"BIRD","Dominance","Sex","Season","Season.plus","Cohort","Group","Start.AgeCl","Bird.age","Mean.Age","Delta.Age","Plate","Position","RTL"
"3","DOM","F","2011-12","2011-12_1","2007-08","BO","N",1383,2098.85714285714,-715.857142857143,"D2",5,0.749633056
"3","DOM","F","2011-12","2011-12_2","2007-08","BO","N",1612,2098.85714285714,-486.857142857143,"D2",8,0.855334008
"3","DOM","F","2012-13","2012-13_2","2007-08","BO","N",1961,2098.85714285714,-137.857142857143,"H2",8,0.919664107
"3","DOM","F","2013-14","2013-14_1","2007-08","BO","N",2174,2098.85714285714,75.1428571428573,"H2",13,0.992531209
"3","DOM","F","2013-14","2013-14_2","2007-08","BO","N",2350,2098.85714285714,251.142857142857,"H2",15,1.219195925
"3","DOM","F","2014-15","2014-15_1","2007-08","BO","N",2528,2098.85714285714,429.142857142857,"H2",23,1.273238285
"3","DOM","F","2014-15","2014-15_2","2007-08","BO","N",2684,2098.85714285714,585.142857142857,"H2",24,0.986545822
"5","DOM","M","2011-12","2011-12_1","2007-08","JA","N",1353,1546,-193,"P1",4,0.608632874
"5","DOM","M","2012-13","2012-13_1","2007-08","JA","N",1739,1546,193,"H2",6,0.822576159
"6","DOM","F","2011-12","2011-12_2","2007-08","KI","N",1563,2068,-505,"L2",4,0.964669483
"6","DOM","F","2012-13","2012-13_2","2007-08","KI","N",1920,2068,-148,"M2",16,0.796511379
"6","DOM","F","2013-14","2013-14_2","2007-08","IN","N",2294,2068,226,"D2",18,0.735978291
"6","DOM","F","2014-15","2014-15_1","2007-08","IN","N",2495,2068,427,"D2",19,0.947838586
"7","DOM","F","2012-13","2012-13_2","2007-08","CA","N",1909,2343.25,-434.25,"P1",10,0.802219563
"7","DOM","F","2013-14","2013-14_2","2007-08","CA","N",2317,2343.25,-26.25,"P1",17,0.877855195
"7","DOM","F","2014-15","2014-15_1","2007-08","CA","N",2488,2343.25,144.75,"X2",17,0.964719527
"7","DOM","F","2014-15","2014-15_2","2007-08","CA","N",2659,2343.25,315.75,"P1",22,1.43396789
"9","DOM","M","2011-12","2011-12_1","2007-08","PO","N",1341,2074.33333333333,-733.333333333333,"C2",21,0.842028264
"9","DOM","M","2011-12","2011-12_2","2007-08","PO","N",1519,2074.33333333333,-555.333333333333,"C2",4,1.049740304
"9","DOM","M","2013-14","2013-14_1","2007-08","PO","N",2133,2074.33333333333,58.6666666666665,"D2",16,0.910020794
"9","DOM","M","2013-14","2013-14_2","2007-08","PO","N",2299,2074.33333333333,224.666666666667,"D2",17,0.806277083
"9","DOM","M","2014-15","2014-15_1","2007-08","PO","N",2509,2074.33333333333,434.666666666667,"G2",15,0.887538333
"9","DOM","M","2014-15","2014-15_2","2007-08","PO","N",2645,2074.33333333333,570.666666666667,"G2",17,1.305422265
"12","DOM","M","2012-13","2012-13_2","2007-08","CA","N",1898,2187.25,-289.25,"E2",14,0.78386962
"12","DOM","M","2013-14","2013-14_1","2007-08","CA","N",2122,2187.25,-65.25,"E2",13,0.701831993
"12","DOM","M","2013-14","2013-14_2","2007-08","CA","N",2281,2187.25,93.75,"E2",18,0.663482706
"12","DOM","M","2014-15","2014-15_1","2007-08","CA","N",2448,2187.25,260.75,"E2",21,0.754664692
"13","DOM","F","2011-12","2011-12_1","2007-08","YE","N",1333,1992.71428571429,-659.714285714286,"D2",2,0.884429243
"13","DOM","F","2011-12","2011-12_2","2007-08","YE","N",1562,1992.71428571429,-430.714285714286,"D2",9,0.863185713
"13","DOM","F","2012-13","2012-13_1","2007-08","YE","N",1778,1992.71428571429,-214.714285714286,"D2",11,0.706641621
"13","DOM","F","2012-13","2012-13_2","2007-08","YE","N",1905,1992.71428571429,-87.7142857142858,"D2",10,0.858594406
"13","DOM","F","2013-14","2013-14_2","2007-08","YE","N",2288,1992.71428571429,295.285714285714,"L2",17,0.955383246
"13","DOM","F","2014-15","2014-15_1","2007-08","YE","N",2443,1992.71428571429,450.285714285714,"L2",24,1.164613969
"13","DOM","F","2014-15","2014-15_2","2007-08","YE","N",2640,1992.71428571429,647.285714285714,"L2",22,0.889357866
"14","SUB","F","2012-13","2012-13_1","2008-09","UB","N",1354,1529.33333333333,-175.333333333333,"F2",13,0.80756186
"14","SUB","F","2012-13","2012-13_2","2008-09","UB","N",1513,1529.33333333333,-16.3333333333333,"F2",19,0.755695299
"14","SUB","F","2013-14","2013-14_1","2008-09","UB","N",1721,1529.33333333333,191.666666666667,"F2",20,0.836612567
"15","SUB","F","2011-12","2011-12_1","2009-10","AY","N",686,793,-107,"I2",23,0.960829745
"15","SUB","F","2011-12","2011-12_2","2009-10","AY","N",900,793,107,"I2",3,1.048491346
"16","SUB","F","2011-12","2011-12_1","2009-10","EL","N",687,794.5,-107.5,"H2",4,1.095915743
"16","SUB","F","2011-12","2011-12_2","2009-10","EL","N",902,794.5,107.5,"H2",5,1.139702231
"17","DOM","F","2011-12","2011-12_1","2009-10","OS","N",687,978,-291,"H2",3,1.187546158
"17","DOM","F","2012-13","2012-13_2","2009-10","LE","N",1269,978,291,"O2",13,0.963293187
"19","SUB","M","2011-12","2011-12_1","2008-09","HY","N",912,1581.5,-669.5,"X1",11,0.585167429
"19","SUB","M","2011-12","2011-12_2","2008-09","HY","N",1140,1581.5,-441.5,"X1",17,0.601030417
"19","SUB","M","2012-13","2012-13_1","2008-09","HY","N",1347,1581.5,-234.5,"X1",14,0.757784967
"19","SUB","M","2013-14","2013-14_2","2008-09","HY","N",1861,1581.5,279.5,"B2",16,0.984979208
"19","SUB","M","2014-15","2014-15_1","2008-09","HY","N",2020,1581.5,438.5,"B2",17,0.876987336
"19","SUB","M","2014-15","2014-15_2","2008-09","HY","N",2209,1581.5,627.5,"B2",20,1.013401634
"20","DOM","M","2012-13","2012-13_1","2008-09","KI","N",1370,1534.33333333333,-164.333333333333,"C2",8,0.800870019
"20","DOM","M","2012-13","2012-13_2","2008-09","KI","N",1507,1534.33333333333,-27.3333333333333,"C2",9,1.064157898
"20","DOM","M","2013-14","2013-14_1","2008-09","KI","N",1726,1534.33333333333,191.666666666667,"C2",13,1.104148628
"22","DOM","F","2011-12","2011-12_2","2008-09","GE","N",1216,1738.16666666667,-522.166666666667,"O2",6,0.593541478
"22","DOM","F","2012-13","2012-13_1","2008-09","GE","N",1429,1738.16666666667,-309.166666666667,"O2",12,0.689779771
"22","DOM","F","2012-13","2012-13_2","2008-09","GE","N",1562,1738.16666666667,-176.166666666667,"O2",14,0.70649047
"22","DOM","F","2013-14","2013-14_1","2008-09","GE","N",1788,1738.16666666667,49.8333333333333,"O2",20,0.705251452
"22","DOM","F","2014-15","2014-15_1","2008-09","GE","N",2138,1738.16666666667,399.833333333333,"G2",14,0.880605223
"22","DOM","F","2014-15","2014-15_2","2008-09","GE","N",2296,1738.16666666667,557.833333333333,"G2",22,0.935131156
"23","DOM","F","2012-13","2012-13_2","2008-09","PO","N",1578,1888.66666666667,-310.666666666667,"K2",14,0.984524857
"23","DOM","F","2013-14","2013-14_1","2008-09","PO","N",1788,1888.66666666667,-100.666666666667,"K2",11,1.114214628
"23","DOM","F","2014-15","2014-15_2","2008-09","PO","N",2300,1888.66666666667,411.333333333333,"K2",19,1.402836954
"25","SUB","F","2011-12","2011-12_1","2009-10","SU","N",686,908.666666666667,-222.666666666667,"C2",2,0.906984937
"25","SUB","F","2011-12","2011-12_2","2009-10","SU","N",923,908.666666666667,14.3333333333334,"C2",6,0.992026809
"25","SUB","F","2012-13","2012-13_1","2009-10","SU","N",1117,908.666666666667,208.333333333333,"C2",7,0.9386504
"26","SUB","M","2011-12","2011-12_2","2008-09","VA","N",1182,1295,-113,"F2",8,0.730704128
"26","SUB","M","2012-13","2012-13_1","2008-09","VA","N",1408,1295,113,"F2",16,0.767534862
"27","SUB","M","2013-14","2013-14_1","2009-10","TO","N",1492,1718.5,-226.5,"N2",16,0.670328572
"27","SUB","M","2013-14","2013-14_2","2009-10","TO","N",1614,1718.5,-104.5,"N2",21,0.586295508
"27","SUB","M","2014-15","2014-15_1","2009-10","TO","N",1791,1718.5,72.5,"N2",23,0.565922749
