"BIRD","Sex","Bird.age1","Season","DNA.Date1","DNA.Date2","Group1","Group2","Start.Error","Plate","RTL1","RTL2","Total.rain","Period","Ad.GS","Dominance","Dmonths","Season.plus"
"13","F",1333,"2011-12","2011-09-04","2012-04-20","YE","YE",1,"D2",0.884429243,0.863185713,373.5,"BREEDING",5,"DOM",-0.00316188460864115,"2011-12_2"
"92","M",236,"2011-12","2011-09-04","2012-04-20","YE","YE",1,"OX6",0.745478724,0.943819751,373.5,"BREEDING",5,"SUB",0.022400901285158,"2011-12_2"
"79","F",670,"2011-12","2011-09-04","2012-04-22","XB","XB",4079,"OX5",1.204994204,1.2111839,347.5,"BREEDING",2.16810344827586,"DOM",0.00775544674762415,"2011-12_2"
"18","M",1018,"2011-12","2011-09-04","2012-04-20","YE","YE",27,"OX1",0.558000132,0.571262842,373.5,"BREEDING",5,"DOM",-0.00616781694960185,"2011-12_2"
"91","M",235,"2011-12","2011-09-04","2012-04-22","YE","YE",1,"OX6",0.933409335,0.879773261,347.5,"BREEDING",5,"SUB",-0.00622178792042781,"2011-12_2"
"60","F",1035,"2011-12","2011-09-05","2012-04-29","SU","SU",180,"OX5",1.394564816,1.320463086,371.5,"BREEDING",5.12236286919831,"SUB",0.00161897995806404,"2011-12_2"
"87","F",314,"2011-12","2011-09-05","2012-04-21","GE","GE",235,"OX6",0.94585353,0.936580837,373.5,"BREEDING",7.94782608695652,"SUB",-0.000177407117986125,"2011-12_2"
"22","F",987,"2011-12","2011-09-05","2012-04-21","GE","GE",1,"O2",0.681444211,0.593541478,373.5,"BREEDING",7.94782608695652,"SUB",-0.0165747101936193,"2011-12_2"
"21","M",1063,"2011-12","2011-09-05","2012-04-24","SU","SU",3687,"OX2",0.860520285,0.77555231,347.5,"BREEDING",5.1244635193133,"DOM",-0.0119053630328398,"2011-12_2"
"31","M",649,"2011-12","2011-09-05","2012-04-21","GE","GE",1,"F2",0.784460223,0.71105492,373.5,"BREEDING",7.94782608695652,"SUB",-0.0123002672095145,"2011-12_2"
"25","F",686,"2011-12","2011-09-05","2012-04-29","SU","SU",10,"C2",0.906984937,0.992026809,371.5,"BREEDING",5.12236286919831,"SUB",0.0109012006284438,"2011-12_2"
"4","F",1510,"2011-12","2011-09-06","2012-04-27","TO","TO",3241,"OX1",0.677811484,0.64965862,371.5,"BREEDING",8.47659574468085,"DOM",-0.00864227932862746,"2011-12_2"
"73","F",580,"2011-12","2011-09-06","2012-03-03","PO","PO",2,"N2",0.739066704,0.688972191,394.5,"BREEDING",5.61111111111111,"SUB",-0.0131682417390996,"2011-12_2"
"28","M",678,"2011-12","2011-09-06","2012-04-27","TO","TO",1,"D2",0.656345231,0.671258032,371.5,"BREEDING",8.47659574468085,"SUB",-0.00360540696042232,"2011-12_2"
"81","M",554,"2011-12","2011-09-06","2012-04-27","TO","TO",1,"F2",0.546060369,0.581669713,371.5,"BREEDING",8.47659574468085,"SUB",-0.00344048294914027,"2011-12_2"
"62","M",704,"2011-12","2011-09-07","2012-04-25","TI","TI",314,"OX4",0.696814089,0.684445696,347.5,"BREEDING",3.55172413793103,"DOM",-0.00627024016666156,"2011-12_2"
"63","F",704,"2011-12","2011-09-07","2012-04-25","TI","TI",314,"OX8",1.021975959,1.084185657,347.5,"BREEDING",3.55172413793103,"DOM",0.0108474975112605,"2011-12_2"
"9","M",1341,"2011-12","2011-09-07","2012-03-03","PO","PO",1,"C2",0.842028264,1.049740304,394.5,"BREEDING",5.6145251396648,"DOM",0.0332624626713549,"2011-12_2"
"93","M",222,"2011-12","2011-09-07","2012-03-03","PO","PO",1,"OX6",0.828542513,0.875888628,394.5,"BREEDING",5.6145251396648,"SUB",0.00583447101247852,"2011-12_2"
"19","M",912,"2011-12","2011-09-07","2012-04-22","HY","HY",1,"X1",0.585167429,0.601030417,347.5,"BREEDING",5.27947598253275,"SUB",-0.00522358953201238,"2011-12_2"
"37","M",883,"2011-12","2011-09-07","2012-04-23","DA","DA",2,"J2",1.001265395,1.017820744,347.5,"BREEDING",2.97826086956522,"SUB",0.00448379771694838,"2011-12_2"
"74","M",581,"2011-12","2011-09-08","2012-04-28","MO","MO",1,"OX5",1.305779629,1.292480989,371.5,"BREEDING",3.76923076923077,"SUB",0.00746354147082049,"2011-12_2"
"75","F",575,"2011-12","2011-09-08","2012-04-19","MO","MO",1,"OX5",0.946220279,1.17030529,373.5,"BREEDING",3.8,"DOM",0.0310805416281302,"2011-12_2"
"59","M",1072,"2011-12","2011-09-08","2012-04-22","XB","XB",149,"OX4",0.740643918,0.629778609,347.5,"BREEDING",2.17105263157895,"DOM",-0.0183784645875719,"2011-12_2"
"38","M",905,"2011-12","2011-09-08","2012-04-20","MO","MO",1,"E2",0.96122604,0.943145167,373.5,"BREEDING",3.79646017699115,"DOM",-0.000994243454305887,"2011-12_2"
"89","M",261,"2011-12","2011-09-09","2012-04-16","OK","OK",1,"OX7",1.001626208,1.068647011,386,"BREEDING",6,"SUB",0.0115575381355508,"2011-12_2"
"2","F",1519,"2011-12","2011-09-09","2012-04-22","HY","HY",3235,"OX8",0.553992789,0.662915568,347.5,"BREEDING",5.27312775330396,"DOM",0.00635492574115564,"2011-12_2"
"88","M",262,"2011-12","2011-09-09","2012-04-16","OK","OK",1,"OX6",0.777462285,0.769403151,386,"BREEDING",6,"SUB",-0.00406056924372193,"2011-12_2"
"8","M",1513,"2011-12","2011-09-09","2012-04-16","OK","OK",3241,"OX8",0.932343196,0.851155904,386,"BREEDING",6,"DOM",-0.0103154489251765,"2011-12_2"
"30","F",673,"2011-12","2011-09-09","2012-04-16","OK","OK",3,"P1",0.584132017,0.562705669,386,"BREEDING",6,"SUB",-0.0105232975848128,"2011-12_2"
"29","M",673,"2011-12","2011-09-09","2012-04-24","JA","JA",3,"K2",0.766754083,0.71416206,347.5,"BREEDING",5.51528384279476,"SUB",-0.0100256632025387,"2011-12_2"
"90","M",245,"2011-12","2011-09-10","2012-04-20","PU","PU",1,"OX6",0.788366755,0.828263865,373.5,"BREEDING",9.17410714285714,"SUB",0.00270375644834609,"2011-12_2"
"36","M",878,"2011-12","2011-09-10","2012-04-20","PU","PU",7,"P1",0.557609537,0.621722013,373.5,"BREEDING",9.17410714285714,"DOM",0.000497760345027689,"2011-12_2"
"77","F",573,"2011-12","2011-09-10","2012-04-20","PU","PU",3,"M2",1.089094339,0.969681814,373.5,"BREEDING",9.17410714285714,"SUB",-0.0116076668990979,"2011-12_2"
"32","F",615,"2011-12","2011-09-10","2012-04-20","PU","PU",1,"M2",0.757830038,0.744477533,373.5,"BREEDING",9.17410714285714,"SUB",-0.00518289070752836,"2011-12_2"
